SMED30032887	SMED30032887	Gene Expression
SMESG000029978.1	SMESG000029978.1	Gene Expression
SMESG000029984.1	SMESG000029984.1	Gene Expression
SMESG000029986.1	SMESG000029986.1	Gene Expression
SMESG000029996.1	SMESG000029996.1	Gene Expression
SMESG000030021.1	SMESG000030021.1	Gene Expression
SMESG000030037.1	SMESG000030037.1	Gene Expression
SMESG000030040.1	SMESG000030040.1	Gene Expression
SMESG000030048.1	SMESG000030048.1	Gene Expression
SMESG000030049.1	SMESG000030049.1	Gene Expression
SMESG000030051.1	SMESG000030051.1	Gene Expression
SMESG000029943.1	SMESG000029943.1	Gene Expression
SMESG000029946.1	SMESG000029946.1	Gene Expression
SMESG000040673.1	SMESG000040673.1	Gene Expression
SMESG000040671.1	SMESG000040671.1	Gene Expression
SMESG000040645.1	SMESG000040645.1	Gene Expression
SMESG000040644.1	SMESG000040644.1	Gene Expression
SMESG000040682.1	SMESG000040682.1	Gene Expression
SMESG000040681.1	SMESG000040681.1	Gene Expression
SMESG000040665.1	SMESG000040665.1	Gene Expression
SMESG000044008.1	SMESG000044008.1	Gene Expression
SMESG000043987.1	SMESG000043987.1	Gene Expression
SMESG000043996.1	SMESG000043996.1	Gene Expression
SMESG000043998.1	SMESG000043998.1	Gene Expression
SMESG000032608.1	SMESG000032608.1	Gene Expression
SMESG000032594.1	SMESG000032594.1	Gene Expression
SMESG000032577.1	SMESG000032577.1	Gene Expression
SMESG000032574.1	SMESG000032574.1	Gene Expression
SMESG000032570.1	SMESG000032570.1	Gene Expression
SMESG000032557.1	SMESG000032557.1	Gene Expression
SMESG000032556.1	SMESG000032556.1	Gene Expression
SMESG000032555.1	SMESG000032555.1	Gene Expression
SMESG000032551.1	SMESG000032551.1	Gene Expression
SMESG000032548.1	SMESG000032548.1	Gene Expression
SMESG000032545.1	SMESG000032545.1	Gene Expression
SMESG000032544.1	SMESG000032544.1	Gene Expression
SMESG000032542.1	SMESG000032542.1	Gene Expression
SMESG000032541.1	SMESG000032541.1	Gene Expression
SMESG000032540.1	SMESG000032540.1	Gene Expression
SMESG000032527.1	SMESG000032527.1	Gene Expression
SMESG000032526.1	SMESG000032526.1	Gene Expression
SMESG000032525.1	SMESG000032525.1	Gene Expression
SMESG000032524.1	SMESG000032524.1	Gene Expression
SMESG000032523.1	SMESG000032523.1	Gene Expression
SMESG000032522.1	SMESG000032522.1	Gene Expression
SMESG000032598.1	SMESG000032598.1	Gene Expression
SMESG000032554.1	SMESG000032554.1	Gene Expression
SMESG000076382.1	SMESG000076382.1	Gene Expression
SMESG000076270.1	SMESG000076270.1	Gene Expression
SMESG000076282.1	SMESG000076282.1	Gene Expression
SMESG000076315.1	SMESG000076315.1	Gene Expression
SMESG000076404.1	SMESG000076404.1	Gene Expression
SMESG000076415.1	SMESG000076415.1	Gene Expression
SMESG000076454.1	SMESG000076454.1	Gene Expression
SMESG000076461.1	SMESG000076461.1	Gene Expression
SMESG000076463.1	SMESG000076463.1	Gene Expression
SMESG000076464.1	SMESG000076464.1	Gene Expression
SMESG000076465.1	SMESG000076465.1	Gene Expression
SMESG000076466.1	SMESG000076466.1	Gene Expression
SMESG000076469.1	SMESG000076469.1	Gene Expression
SMESG000076470.1	SMESG000076470.1	Gene Expression
SMESG000076482.1	SMESG000076482.1	Gene Expression
SMESG000076484.1	SMESG000076484.1	Gene Expression
SMESG000076498.1	SMESG000076498.1	Gene Expression
SMESG000076499.1	SMESG000076499.1	Gene Expression
SMESG000076502.1	SMESG000076502.1	Gene Expression
SMESG000076503.1	SMESG000076503.1	Gene Expression
SMESG000076505.1	SMESG000076505.1	Gene Expression
SMESG000076508.1	SMESG000076508.1	Gene Expression
SMESG000076513.1	SMESG000076513.1	Gene Expression
SMESG000076519.1	SMESG000076519.1	Gene Expression
SMESG000076162.1	SMESG000076162.1	Gene Expression
SMESG000076166.1	SMESG000076166.1	Gene Expression
SMESG000076168.1	SMESG000076168.1	Gene Expression
SMESG000076169.1	SMESG000076169.1	Gene Expression
